*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=CyGate4
*Date=12:25:15
*CreatedBy=Fritzing 0.9.3b.04.19.5c895d327c44a3114e5fcc9d8260daf0cbb52806
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
234;;;45.0615;-3.95525;0;Bottom;TXT68
235;;;126.235;-117.512;0;Bottom;Via45
236;;;15.6914;-69.2077;0;Bottom;Via6
237;;;85.5475;-97.1687;0;Bottom;Via52
238;;;48.7662;-3.99177;0;Bottom;TXT25
239;;;4.26957;-120.019;0;Bottom;Hole3
240;;;125.119;-2.95601;0;Bottom;TXT25
241;1μF;100 mil [THT, tantalum];37.2896;-93.3491;-90;Bottom;C3
242;;THT;39.4765;-7.75125;90;Bottom;J6
243;10k;THT;42.3696;-33.6591;-90;Bottom;R9
244;;5 mm [THT];159.209;-102.93;0;Bottom;LED3
245;;;76.3827;-107.865;0;Bottom;TXT13
246;10k;THT;143.97;-19.6891;90;Bottom;R23
247;;;9.77282;-19.8305;-90;Bottom;TXT80
248;;THT;47.3641;-19.6893;-90;Bottom;U7
249;;300 mil [THT];61.4196;-32.4145;90;Bottom;D8
250;4.7k;THT;184.61;-20.9591;0;Bottom;R25
251;;;147.999;-3.22666;0;Bottom;TXT25
252;;;172.648;-42.1258;0;Bottom;TXT58
253;10k;THT;128.73;-19.6891;90;Bottom;R20
254;;;62.8187;-19.8737;-90;Bottom;TXT80
255;;;40.3558;-81.8878;0;Bottom;TXT9
256;;;44.8746;-44.9981;-90;Bottom;TXT37
257;;;88.1528;-22.8086;-90;Bottom;TXT90
258;;;93.1173;-32.2185;-90;Bottom;TXT89
259;150;THT;62.6896;-85.7291;0;Bottom;R1
260;;;65.2295;-59.0592;0;Bottom;Via81
261;;;91.8642;-89.5514;0;Bottom;Via15
262;0.22mF;100 mil [THT, tantalum];28.3996;-93.3491;-90;Bottom;C2
263;;5 mm [THT];32.2094;-81.3402;0;Bottom;LED2
264;;;84.2795;-56.5192;0;Bottom;Via82
265;;;55.4928;-19.6894;-90;Bottom;TXT80
266;10k;THT;34.7496;-33.6591;-90;Bottom;R8
267;;THT;24.5042;-19.6893;-90;Bottom;U4
268;;THT;104.6;-86.9991;90;Bottom;J11
269;;;84.4207;-15.8791;0;Bottom;TXT75
270;;;117.3;-71.7591;180;Bottom;IC3
271;;;90.5773;-32.2185;-90;Bottom;TXT88
272;;;61.3949;-104.786;0;Bottom;Via1
273;;;98.2495;-52.7092;0;Bottom;Via96
274;;;25.7947;-3.92544;0;Bottom;TXT25
275;;;85.5475;-47.6563;0;Bottom;Via19
276;;relay-jzc;174.469;-92.0792;90;Bottom;REL2
277;;;118.525;-84.4423;0;Bottom;Via38
278;;;132.823;-2.97244;0;Bottom;TXT28
279;;THT;111.867;-7.75125;90;Bottom;J17
280;;;88.0895;-55.2492;0;Bottom;Via83
281;;;192.794;-75.9926;-90;Bottom;TXT25
282;;;70.3095;-27.3092;0;Bottom;Via76
283;;relay-jzc;174.469;-106.049;90;Bottom;REL1
284;;;173.179;-14.6092;0;Bottom;Via97
285;;THT;62.3365;-7.75125;90;Bottom;J9
286;4.7k;THT;49.9896;-81.9191;-90;Bottom;R3
287;;;32.4917;-19.6894;-90;Bottom;TXT80
288;;;19.5;-45.0554;0;Bottom;Via25
